"Contestant","Year","Source_country","Points","Vote_type","Points_type","country_code","latitude","longitude"
"Croatia",2016,"Czech Republic",8,"Jury","High","CZE",49.8175,15.473
"Croatia",2016,"Georgia",2,"Jury","Low","GEO",42.3154,43.3569
"Croatia",2016,"Bosnia and Herzegovina",4,"Jury","Low","BIH",43.9159,17.6791
"Croatia",2016,"Moldova",1,"Jury","Low","MDA",47.4116,28.3699
"Croatia",2016,"Cyprus",1,"Jury","Low","CYP",35.1264,33.4299
"Croatia",2016,"Israel",3,"Jury","Low","ISR",31.0461,34.8516
"Croatia",2016,"Australia",1,"Jury","Low","AUS",-25.2744,133.7751
"Croatia",2016,"United Kingdom",1,"Jury","Low","GBR",55.3781,-3.436
"Croatia",2016,"Macedonia",6,"Jury","Low","MKD",41.6086,21.7453
"Russia",2016,"Austria",3,"Jury","Low","AUT",47.5162,14.5501
"Russia",2016,"Iceland",8,"Jury","High","ISL",64.9631,-19.0208
"Russia",2016,"Azerbaijan",12,"Jury","High","AZE",40.1431,47.5769
"Russia",2016,"San Marino",7,"Jury","Low","SMR",43.9334,12.4578
"Russia",2016,"Bosnia and Herzegovina",5,"Jury","Low","BIH",43.9159,17.6791
"Russia",2016,"Malta",4,"Jury","Low","MLT",35.9375,14.3754
"Russia",2016,"Spain",4,"Jury","Low","ESP",40.4637,-3.7492
"Russia",2016,"France",1,"Jury","Low","FRA",46.6034,2.2137
"Russia",2016,"Moldova",7,"Jury","Low","MDA",47.4116,28.3699
"Russia",2016,"Armenia",2,"Jury","Low","ARM",40.0691,45.0382
"Russia",2016,"Cyprus",12,"Jury","High","CYP",35.1264,33.4299
"Russia",2016,"Bulgaria",6,"Jury","Low","BGR",42.7339,25.4858
"Russia",2016,"Latvia",7,"Jury","Low","LVA",56.8796,24.6032
"Russia",2016,"Belarus",12,"Jury","High","BLR",53.9006,27.5766
"Russia",2016,"Croatia",6,"Jury","Low","HRV",45.1,15.2
"Russia",2016,"Greece",12,"Jury","High","GRC",39.0742,21.8243
"Russia",2016,"Serbia",1,"Jury","Low","SRB",44.0165,20.907
"Russia",2016,"Albania",7,"Jury","Low","ALB",41.1533,20.1683
"Russia",2016,"Montenegro",8,"Jury","High","MNE",42.7087,19.3744
